in s,C3 in V
-1.0870976E-03,2.24609E-02
-1.0870784E-03,-1.66016E-02
-1.0870592E-03,2.92969E-03
-1.0870400E-03,-6.83594E-03
-1.0870208E-03,-2.63672E-02
-1.0870016E-03,-6.83594E-03
-1.0869824E-03,2.92969E-03
-1.0869632E-03,-6.83594E-03
-1.0869440E-03,-6.83594E-03
-1.0869248E-03,2.24609E-02
-1.0869056E-03,-6.83594E-03
-1.0868864E-03,-6.83594E-03
-1.0868672E-03,2.24609E-02
-1.0868480E-03,-6.83594E-03
-1.0868288E-03,3.22266E-02
-1.0868096E-03,2.92969E-03
-1.0867904E-03,2.24609E-02
-1.0867712E-03,-6.83594E-03
-1.0867520E-03,1.26953E-02
-1.0867328E-03,2.24609E-02
-1.0867136E-03,3.22266E-02
-1.0866944E-03,1.26953E-02
-1.0866752E-03,2.92969E-03
-1.0866560E-03,2.92969E-03
-1.0866368E-03,2.92969E-03
-1.0866176E-03,-2.63672E-02
-1.0865984E-03,2.92969E-03
-1.0865792E-03,2.24609E-02
-1.0865600E-03,1.26953E-02
-1.0865408E-03,2.24609E-02
-1.0865216E-03,1.26953E-02
-1.0865024E-03,1.26953E-02
-1.0864832E-03,-6.83594E-03
-1.0864640E-03,3.22266E-02
-1.0864448E-03,-3.61328E-02
-1.0864256E-03,-6.83594E-03
-1.0864064E-03,2.92969E-03
-1.0863872E-03,2.92969E-03
-1.0863680E-03,-6.83594E-03
-1.0863488E-03,3.22266E-02
-1.0863296E-03,-1.66016E-02
-1.0863104E-03,2.92969E-03
-1.0862912E-03,2.92969E-03
-1.0862720E-03,1.26953E-02
-1.0862528E-03,-6.83594E-03
-1.0862336E-03,2.24609E-02
-1.0862144E-03,1.26953E-02
-1.0861952E-03,1.26953E-02
-1.0861760E-03,2.92969E-03
-1.0861568E-03,-6.83594E-03
-1.0861376E-03,2.92969E-03
-1.0861184E-03,2.92969E-03
-1.0860992E-03,2.24609E-02
-1.0860800E-03,-1.66016E-02
-1.0860608E-03,2.92969E-03
-1.0860416E-03,2.92969E-03
-1.0860224E-03,-6.83594E-03
-1.0860032E-03,-2.63672E-02
-1.0859840E-03,-6.83594E-03
-1.0859648E-03,1.26953E-02
-1.0859456E-03,-6.83594E-03
-1.0859264E-03,-1.66016E-02
-1.0859072E-03,-6.83594E-03
-1.0858880E-03,-6.83594E-03
-1.0858688E-03,1.26953E-02
-1.0858496E-03,-6.83594E-03
-1.0858304E-03,-2.63672E-02
-1.0858112E-03,-2.63672E-02
-1.0857920E-03,-1.66016E-02
-1.0857728E-03,-2.63672E-02
-1.0857536E-03,-1.66016E-02
-1.0857344E-03,-1.66016E-02
-1.0857152E-03,1.26953E-02
-1.0856960E-03,2.24609E-02
-1.0856768E-03,2.92969E-03
-1.0856576E-03,-6.83594E-03
-1.0856384E-03,-6.83594E-03
-1.0856192E-03,2.24609E-02
-1.0856000E-03,3.22266E-02
