in s,C1 in V
-4.886048E-04,1.02539E-01
-4.885952E-04,4.39453E-02
-4.885856E-04,9.27734E-02
-4.885760E-04,7.32422E-02
-4.885664E-04,9.27734E-02
-4.885568E-04,9.27734E-02
-4.885472E-04,8.30078E-02
-4.885376E-04,1.02539E-01
-4.885280E-04,7.32422E-02
-4.885184E-04,8.30078E-02
-4.885088E-04,9.27734E-02
-4.884992E-04,6.34766E-02
-4.884896E-04,1.12305E-01
-4.884800E-04,1.12305E-01
-4.884704E-04,1.02539E-01
-4.884608E-04,9.27734E-02
-4.884512E-04,9.27734E-02
-4.884416E-04,8.30078E-02
-4.884320E-04,7.32422E-02
-4.884224E-04,9.27734E-02
-4.884128E-04,7.32422E-02
-4.884032E-04,1.31836E-01
-4.883936E-04,7.32422E-02
-4.883840E-04,8.30078E-02
-4.883744E-04,9.27734E-02
-4.883648E-04,7.32422E-02
-4.883552E-04,6.34766E-02
-4.883456E-04,1.12305E-01
-4.883360E-04,9.27734E-02
-4.883264E-04,6.34766E-02
-4.883168E-04,5.37109E-02
-4.883072E-04,8.30078E-02
-4.882976E-04,1.12305E-01
-4.882880E-04,1.12305E-01
-4.882784E-04,1.12305E-01
-4.882688E-04,9.27734E-02
-4.882592E-04,7.32422E-02
-4.882496E-04,1.12305E-01
-4.882400E-04,9.27734E-02
-4.882304E-04,6.34766E-02
-4.882208E-04,9.27734E-02
-4.882112E-04,8.30078E-02
-4.882016E-04,1.02539E-01
-4.881920E-04,9.27734E-02
-4.881824E-04,8.30078E-02
-4.881728E-04,1.12305E-01
-4.881632E-04,1.02539E-01
-4.881536E-04,7.32422E-02
-4.881440E-04,8.30078E-02
-4.881344E-04,1.02539E-01
-4.881248E-04,6.34766E-02
-4.881152E-04,1.02539E-01
-4.881056E-04,9.27734E-02
-4.880960E-04,1.12305E-01
-4.880864E-04,1.12305E-01
-4.880768E-04,1.02539E-01
-4.880672E-04,1.12305E-01
-4.880576E-04,1.12305E-01
-4.880480E-04,8.30078E-02
-4.880384E-04,8.30078E-02
-4.880288E-04,9.27734E-02
-4.880192E-04,1.02539E-01
-4.880096E-04,8.30078E-02
-4.880000E-04,6.34766E-02
-4.879904E-04,7.32422E-02
-4.879808E-04,1.22070E-01
-4.879712E-04,9.27734E-02
-4.879616E-04,7.32422E-02
-4.879520E-04,7.32422E-02
-4.879424E-04,7.32422E-02
-4.879328E-04,7.32422E-02
-4.879232E-04,8.30078E-02
-4.879136E-04,1.02539E-01
-4.879040E-04,9.27734E-02
-4.878944E-04,1.12305E-01
-4.878848E-04,1.12305E-01
-4.878752E-04,7.32422E-02
-4.878656E-04,8.30078E-02
-4.878560E-04,1.12305E-01
-4.878464E-04,8.30078E-02
-4.878368E-04,8.30078E-02
-4.878272E-04,7.32422E-02
-4.878176E-04,1.22070E-01
-4.878080E-04,9.27734E-02
-4.877984E-04,1.22070E-01
-4.877888E-04,9.27734E-02
