in s,C1 in V
-1.1451912E-03,2.92969E-03
-1.1451728E-03,-1.66016E-02
-1.1451544E-03,1.26953E-02
-1.1451360E-03,3.22266E-02
-1.1451176E-03,-6.83594E-03
-1.1450992E-03,2.92969E-03
-1.1450808E-03,-2.63672E-02
-1.1450624E-03,1.26953E-02
-1.1450440E-03,2.92969E-03
-1.1450256E-03,4.19922E-02
-1.1450072E-03,2.92969E-03
-1.1449888E-03,-6.83594E-03
-1.1449704E-03,-6.83594E-03
-1.1449520E-03,2.24609E-02
-1.1449336E-03,2.92969E-03
-1.1449152E-03,-6.83594E-03
-1.1448968E-03,2.24609E-02
-1.1448784E-03,-6.83594E-03
-1.1448600E-03,1.26953E-02
-1.1448416E-03,2.24609E-02
-1.1448232E-03,-2.63672E-02
-1.1448048E-03,-6.83594E-03
-1.1447864E-03,2.24609E-02
-1.1447680E-03,2.92969E-03
-1.1447496E-03,2.92969E-03
-1.1447312E-03,2.92969E-03
-1.1447128E-03,-6.83594E-03
-1.1446944E-03,2.24609E-02
-1.1446760E-03,1.26953E-02
-1.1446576E-03,2.24609E-02
-1.1446392E-03,-6.83594E-03
-1.1446208E-03,2.24609E-02
-1.1446024E-03,1.26953E-02
-1.1445840E-03,-6.83594E-03
-1.1445656E-03,-1.66016E-02
-1.1445472E-03,-6.83594E-03
-1.1445288E-03,-6.83594E-03
-1.1445104E-03,2.92969E-03
-1.1444920E-03,2.92969E-03
-1.1444736E-03,1.26953E-02
-1.1444552E-03,-1.66016E-02
-1.1444368E-03,-6.83594E-03
-1.1444184E-03,2.92969E-03
-1.1444000E-03,4.19922E-02
-1.1443816E-03,-1.66016E-02
-1.1443632E-03,1.26953E-02
-1.1443448E-03,2.92969E-03
-1.1443264E-03,2.92969E-03
-1.1443080E-03,2.24609E-02
-1.1442896E-03,-6.83594E-03
-1.1442712E-03,1.26953E-02
-1.1442528E-03,-6.83594E-03
-1.1442344E-03,-1.66016E-02
-1.1442160E-03,2.24609E-02
-1.1441976E-03,2.92969E-03
-1.1441792E-03,3.22266E-02
-1.1441608E-03,2.24609E-02
-1.1441424E-03,-6.83594E-03
-1.1441240E-03,4.19922E-02
-1.1441056E-03,2.24609E-02
-1.1440872E-03,1.26953E-02
-1.1440688E-03,-6.83594E-03
-1.1440504E-03,-1.66016E-02
